"id","commande_id","numero_poste","code_produit","designation_produit","quantite_commandee","quantite_livree","prix_unitaire","unite","poids_total","categorie_article","plant"
"98e160f3-f8ce-4c37-9c2a-bffba1c47eb0","7f2519ae-c362-4fc0-82ee-e42fd84fe474","10","TEST 1","Test 1 mat prem","2.000","0.000","1000.00","EA",,"YBMM01","P100"
"99877fe7-6558-4514-ab25-795f9707fcbc","5bb34e5d-abef-43fb-b190-88796b8aa31e","10","GASOIL01","Gasoil","10000.000","0.000","11000.00","TO","830.000","L004","P100"
"9dd134c1-b340-41e7-a099-21cef85e6158","12c7e0d1-d182-442d-adb9-e914d780108d","10","3000048","ARTICLE TEST 1","55.000","0.000","66.00","KGM",,"ZPFDND","S004"
"a02dabf2-204a-4e86-9073-6a4291ca966f","feb39b63-62b1-4c1d-8003-9c66c73445ca","10","TEST 2","Test 1 mat prem","1.000","0.000","200.00","EA",,"YBMM01","P100"
"a0755e0f-d032-41b1-abd9-af40b197a0d0","15b374d7-4542-494d-8a52-f09d64623ec1","10","GASOIL01","Gasoil PPM","0.050","0.000","980.00","M3","1000.000","L004","P100"
"a0b7e504-1679-401c-a8b7-97c3a5819563","72d7b6cb-0d5e-4876-910d-289ee9943fba","10","3000048","ARTICLE TEST 1","55.000","0.000","66.00","KGM",,"ZPFDND","S004"
"a0e6ddc9-e825-4119-8c03-cc3f884e5f54","81d0d813-0fc0-42d7-b36e-028474d1dc6b","10","TEST 2","Test 1 mat prem","1.000","0.000","300.00","EA",,"YBMM01","P100"
"aefbc581-c505-4b70-aee5-792f8a652f04","2d6e9945-2925-45d7-b0e8-62bcc84bc286","10","3000048","ARTICLE TEST 1","77.000","0.000","6.00","KGM",,"ZPFDND","S003"
"c32fc504-ad41-44ee-b2f6-5054685a0ed7","861be417-d2db-4080-8887-70d4a2d35ebd","10","GASOIL01","Gasoil","6000.000","0.000","1500.00","TO","830.000","L004","P100"
"c40377c3-9a2a-49d6-9f5c-e27106ca88ab","6f0cc724-654a-416d-a70b-8f32e9d9bf65","10","3000048","ARTICLE TEST 1","33.000","0.000","20.00","KGM",,"ZPFDND","S003"
"cbf75e4f-760e-43fa-9cbe-53a7637b0c8e","fcd3e5b4-e1ba-4070-91c8-9006d5d57526","10","3000048","ARTICLE TEST 1","44.000","0.000","5.00","KGM",,"ZPFDND","S003"
"cdbc8595-3bb9-4f94-bf2e-7f540e5e4dc5","2fd3c760-7adf-4061-b21e-6db0bc94b6fb","10","GASOIL01","Gasoil","2000.000","0.000","900.00","TO","830.000","L004","P100"
"d2c7aeea-1cce-4fe6-abac-014aafac3774","8b4fd8a7-8961-40a0-9e94-fdd501f8fbf7","10","3000048","ARTICLE TEST 1","10.000","0.000","77.00","KGM",,"ZPFDND","S003"
"dca44332-dee7-4ac2-aaf1-e56d645112f3","6e48af56-8c61-4bc5-baee-981fb9171985","10","3000048","ARTICLE TEST 1","77.000","0.000","6.00","KGM",,"ZPFDND","S003"
"e5f3d069-4175-4e30-8c2e-261a266f5881","f854dd8e-5efe-404b-9741-57f3cea60bf2","10","GASOIL","Gasoil","100000000.000","0.000","12.00","L",,"YBMM01","P100"
"ec24d38a-3270-4323-8710-c08410cd022b","4ec80b69-bf55-46b6-a2d0-776f9e76b801","10","GASOIL","Gasoil","1000000000.000","0.000","2.00","L",,"YBMM01","P100"
"f111df23-a89b-494e-b5c0-f3473328bd88","ce70df9b-ba1d-40a0-88c6-9e51ce7815d6","10","TEST 2","Test 1 mat prem","1.000","0.000","200.00","EA",,"YBMM01","P100"
"f3ba5a45-4b46-4212-8ece-49bab1a8084a","ac721fdd-4d50-46db-b2d4-7c709eb1bc43","10","3000048","ARTICLE TEST 1","55.000","0.000","77.00","KGM",,"ZPFDND","S004"
"f7c3e586-5d5b-447c-9f16-265841279925","4424a010-9aa3-459d-899a-14d1799d6b87","10","3000048","ARTICLE TEST 1","10.000","0.000","66.00","KGM",,"ZPFDND","S003"
"fbb3d410-c28b-49c8-9a53-c972caea02bb","d3cb8407-18bf-470e-8b80-9f8f7bed8216","10","GASOIL01","Gasoil PPM","200.000","0.000","980.00","TO","830.000","L004","P100"
"l1000001-0001-0001-0001-000000000001","a1000001-0001-0001-0001-000000000001","10","MAT-001","Tôle acier inoxydable 2mm","500.000","0.000","250.00","KGM","1000.000","ROH","1000"
"l1000001-0001-0001-0001-000000000002","a1000001-0001-0001-0001-000000000001","20","MAT-002","Profilé aluminium 40x40","200.000","0.000","125.00","M","80.000","ROH","1000"
"l1000001-0001-0001-0001-000000000003","a1000001-0001-0001-0001-000000000004","10","MPR-001","Résine époxy industrielle","100.000","0.000","850.00","KGM","100.000","ROH","1000"
"l1000001-0001-0001-0001-000000000004","a1000001-0001-0001-0001-000000000005","10","ELC-001","Variateur de fréquence 75kW","5.000","0.000","15900.00","PC","75.000","FERT","1000"
"l1000001-0001-0001-0001-000000000005","a1000001-0001-0001-0001-000000000008","10","MAT-003","Câble électrique HTA 6/10kV","1000.000","0.000","450.00","M","2500.000","ROH","1000"
"l1000001-0001-0001-0001-000000000006","a1000001-0001-0001-0001-000000000003","10","PDR-001","Roulement SKF 6205-2Z","50.000","50.000","120.00","PC","5.000","HALB","1000"
